SN,Name,ReadWrite,DataType,Unit,Gain,Address,Quantity,Range,Description
23,Active Power,RO,I32,kW,1000,40525,2,Equals the total active output power of all inverters.,
24,Power Factor,RO,I16,N/A,1000,40532,1,Equals the total power factor of all inverters.,
25,Plant Status 1,RO,U16,N/A,1,40543,1,"Used by Qinghai 1: Unlimited power operation 2: Limited power operation 3: Idle 4: Outage (fault, maintenance etc.) 5: Communication interrupt","Used by Qinghai 1: Unlimited power operation 2: Limited power operation 3: Idle 4: Outage (fault, maintenance etc.) 5: Communication interrupt"
26,Reactive Power,RO,I32,kVar,1000,40544,2,Equals the total reactive output power of all inverters,
27,CO2 Reduction 2,RO,U64,kg,100,40550,4,Equals the total CO2 reduction of allinverters.This register represents a larger value range compared with register 40523.,Equals the total CO2 reduction of allinverters.This register represents a larger value range compared with register 40523.
28,DC Current 2,RO,I32,A,10,40554,2,Equals the total input DC current of all inverters. This register represents a larger value range compared with register 40500.,
29,E-Total,RO,U32,kWh,10,40560,2,Equals the total energy yield generated by all inverters.,
30,E-Daily,RO,U32,kWh,10,40562,2,Equals daily energy yield generated by all inverters.,
31,Duration of Daily Power Generation,RO,U32,h,10,40564,2,,
32,Plant Status 2,RO,U16,N/A,1,40566,1,"Used by Xinjiang. 0: Idle, 1: On-grid, 2: On-grid: self derating, 3: On-grid: Power limit, 4: Planned outage, 5: Power limit outage, 6: Fault outage, 7: Communication interrupt","Used by Xinjiang. 0: Idle, 1: On-grid, 2: On-grid: self derating, 3: On-grid: Power limit, 4: Planned outage, 5: Power limit outage, 6: Fault outage, 7: Communication interrupt"
33,Plant Status 3,RO,U16,N/A,1,40567,1,"Used by Ningxia. 1: On-grid, 2: Outage, 3: Maintenance, 4: Idle","Used by Ningxia. 1: On-grid, 2: Outage, 3: Maintenance, 4: Idle"
34,Active Alarm Sequence Number,RO,U32,N/A,1,40568,2,N/A,
35,Historical Alarm Sequence Number,RO,U32,N/A,1,40570,2,N/A,
36,Phase A Current,RO,I16,A,1,40572,1,Equals the sum of phase A currents of all inverters.,
37,Phase B Current,RO,I16,A,1,40573,1,Equals the sum of phase B currents of all inverters.,
38,Phase C Current,RO,I16,A,1,40574,1,Equals the sum of phase C currents of all inverters.,
39,Uab,RO,U16,V,10,40575,1,,
40,Ubc,RO,U16,V,10,40576,1,,
41,Uca,RO,U16,V,10,40577,1,,
42,Reserved,RO,U16,N/A,1,40608,10,N/A,
43,Inverter Efficiency,RO,U16,%,100,40685,1,N/A,
44,Max. Reactive Adjustment,RO,U32,kVar,10,40693,2,Equals the total maximum power of all inverters connected in parallel multiplied by 60%.,
45,Min. Reactive Adjustment,RO,I32,kVar,10,40695,2,Equals the total maximum power of all inverters connected in parallel multiplied by 60% x (-1).,
46,Max. Active Adjustment,RO,U32,kW,10,40697,2,Equals the total maximum power of all inverters connected in parallel.,
47,Locked,RO,U16,N/A,1,40699,1,"0: Locked, 1: Unlocked. If more than one inverter is on-grid and feeding power to the grid, the status is Unlocked.",
48,DI Status,RO,U16,N/A,1,40700,1,"Bit0: DI1 - Bit7: DI8 . 1: Closed, 0: Open. Equals the status of the eight DIs of the SmartLogger.",
49,ESN,RO,STR,NA,1,40713,10,N/A,
50,System Reset,WO,U16,N/A,1,40723,1,Resets the SmartLogger. The data domain is not checked.,
51,Fast Device Access,WO,U16,N/A,1,40724,1,Automatically allocates and searches for devices.,
52,Device Operation,WO,MLD,N/A,1,40725,11,"First 10 registers: determine the device to be operated based on the ESN. The register content is the device ESN. Last register: If the operation Datatype is 0, the SmartLogger deletes inverters. If the operation Datatype is 1, the inverter alarm is reset on the SmartLogger side.",
53,Device Access Status,RO,U16,N/A,1,40736,1,"0: Search completed, 1: Search in progress, 2: Search failed",
54,Active Power Control Mode,RO,U16,N/A,1,40737,1,"0: No limit, 1: DI active scheduling, 3: Percentage fixed-value limitation (open loop), 4: Remote scheduling, 6: Export Limitation (kW). 200: Remote output control. 65533: Slave SmartLogger. 65534: No scheduling",
55,Active Power Scheduling Target Value,RO,U32,kW,10,40738,2,Target total active power for the SmartLogger active power scheduling,
56,Reactive Power Control Mode,RO,U16,N/A,1,40740,1,"0: No output, 1: DI reactive, 2: Reactive power fix control, 3: Power factor fix control, 4: 9 -U characteristic curve, 5: cos(Phi) -P Pn characteristic curve, 6: 9 -U hysteresis curve (CE10 -16), 7: Remotescheduling, 9: Power factor closed-loop control(ole policy), 10: Power factor closed-loop control, 65533: Slave SmagLogger, 65534: no scheduling",
57,Reactive Power Scheduling Curve Mode,RO,U16,N/A,1,40741,1,"0: indicates the power factor, 1: indicates the reactive power fixed value",
58,Reactive Power Scheduling Target Value,RO,I32,kVar,10/1000,40742,2,"SmartLogger reactive power adjustment target value: power factor or total reactive power. The specific meaning depends on the reactive power scheduling mode. When the mode is the power factor, the gain is 1000. When the mode is the reactive power fixed value, the gain is 10.",
59,Active Power Scheduling Percentage,RO,U32,%,1,40802,2,"[0, 100]",
60,CO2 Emission Reduction Coefficient,RW,U16,kg/kWh,1000,41124,1,"[0, 10]",
61,PV Module Capacity,RO,U32,kW,1000,41934,2,"[0, 2000000]",
62,Rated Plant Capacity,RO,U32,kW,1000,41936,2,N/A,
63,Total Rated Capacity Of Grid-Connected Inverters,RO,U32,kW,1000,41938,2,N/A,
64,Conversion Coefficient,RO,U32,N/A,1000,41940,2,N/A,
65,Communication On Status,RO,U16,N/A,1,41942,1,"Status of communication between the SmartLogger and the servers of Japanese power companies: 0: Connection success, 1: Connection failed",
66,Communication On Abnormal Shutdown,RW,U16,N/A,N/A,41947,1,"0: Disable, 1: Enable",
67,Communication On Abnormal Detection Time,RW,U16,s,N/A,41948,1,"[60, 1800]",
68,Auto Start Upon Communication Recovery,RW,U16,N/A,N/A,41949,1,"0: Disable, 1: Enable",
69,System Time: Year,RW,U16,N/A,1,42017,1,2000-2068 (local time),
70,System Time: Month,RW,U16,N/A,1,42018,1,1-12,
71,System Time: Day,RW,U16,N/A,1,42019,1,1-31,
72,The System Time: Hour,RW,U16,N/A,1,42020,1,0-23,
73,The System Time: Minute,RW,U16,N/A,1,42021,1,0-59,
74,The System Time: Second,RW,U16,N/A,1,42022,1,0-59,
75,Current Error During Scanning,RW,U16,N/A,100,42150,1,0-2,
76,Inspection,WO,U16,N/A,1,42730,1,"00:Start, 01:Stop",
77,IV Curve Scanning,WO,U16,N/A,1,42779,1,"00:Stop, 01:Start (64 Points), 02:Start (128 Points), 03:Start (256 Points)",
78,Alarm Info 1,RO,U16,N/A,1,50000,1,N/A,
79,Alarm Info 2,RO,U16,N/A,1,50001,1,N/A,
